PERMNO,date,TICKER,RET,sprtrn
90248,2011/01/31,DPZ,0.028213,0.022646
90248,2011/02/28,DPZ,0.028659,0.031957
90248,2011/03/31,DPZ,0.092472,-0.001047
90248,2011/04/29,DPZ,0.007596,0.028495
90248,2011/05/31,DPZ,0.341949,-0.013501
90248,2011/06/30,DPZ,0.012841,-0.018258
90248,2011/07/29,DPZ,0.064580,-0.021474
90248,2011/08/31,DPZ,0.032006,-0.056791
90248,2011/09/30,DPZ,-0.017310,-0.071762
90248,2011/10/31,DPZ,0.175413,0.107723
90248,2011/11/30,DPZ,0.028411,-0.005059
90248,2011/12/30,DPZ,0.030662,0.008533
90248,2012/01/31,DPZ,-0.038292,0.043583
90248,2012/02/29,DPZ,0.177948,0.040589
90248,2012/03/30,DPZ,0.021841,0.031332
90248,2012/04/30,DPZ,0.041598,-0.007497
90248,2012/05/31,DPZ,-0.187781,-0.062651
90248,2012/06/29,DPZ,0.006513,0.039555
90248,2012/07/31,DPZ,0.104497,0.012598
90248,2012/08/31,DPZ,0.038078,0.019763
90248,2012/09/28,DPZ,0.063770,0.024236
90248,2012/10/31,DPZ,0.077454,-0.019789
90248,2012/11/30,DPZ,0.024126,0.002847
90248,2012/12/31,DPZ,0.046875,0.007068
90248,2013/01/31,DPZ,0.069346,0.050428
90248,2013/02/28,DPZ,0.022547,0.011061
90248,2013/03/28,DPZ,0.084418,0.035988
90248,2013/04/30,DPZ,0.073095,0.018086
90248,2013/05/31,DPZ,0.073732,0.020763
90248,2013/06/28,DPZ,-0.015522,-0.014999
90248,2013/07/31,DPZ,0.076182,0.049462
90248,2013/08/30,DPZ,-0.018217,-0.031298
90248,2013/09/30,DPZ,0.109212,0.029749
90248,2013/10/31,DPZ,-0.013098,0.044596
90248,2013/11/29,DPZ,0.030868,0.028049
90248,2013/12/31,DPZ,0.010415,0.023563
90248,2014/01/31,DPZ,0.013783,-0.035583
90248,2014/02/28,DPZ,0.119671,0.043117
90248,2014/03/31,DPZ,-0.023273,0.006932
90248,2014/04/30,DPZ,-0.033650,0.006201
90248,2014/05/30,DPZ,-0.025948,0.021030
90248,2014/06/30,DPZ,0.012284,0.019058
90248,2014/07/31,DPZ,-0.014913,-0.015080
90248,2014/08/29,DPZ,0.047917,0.037655
90248,2014/09/30,DPZ,0.023327,-0.015514
90248,2014/10/31,DPZ,0.153716,0.023201
90248,2014/11/28,DPZ,0.056988,0.024534
