"Markettype","Trdmnt","Mretwdos","Mmvosd"
"4","2010-04","-0.075385","3469488078.580"
"16","2010-05","-0.027142","83468823.000"
"2","2010-05","-0.161737","10185135.350"
"1","2010-05","-0.086534","10097672112.100"
"8","2010-05","-0.082071","91367952.320"
"4","2010-05","-0.073912","3249943626.480"
"16","2010-06","-0.083787","79884582.520"
"2","2010-06","0.010276","10249578.900"
"1","2010-06","-0.072458","9343516339.340"
"8","2010-06","0.022779","92715279.410"
"4","2010-06","-0.087920","3024068564.620"
"16","2010-07","0.052862","90313571.300"
"2","2010-07","0.140789","11665417.820"
"1","2010-07","0.111845","10201223611.520"
"8","2010-07","0.159405","106584730.970"
"4","2010-07","0.154745","3482530597.090"
"16","2010-08","0.056568","111130586.200"
"2","2010-08","0.085136","12258486.340"
"1","2010-08","0.003982","10297902747.300"
"8","2010-08","0.048794","111702291.930"
"4","2010-08","0.088633","3889003222.240"
"16","2010-09","-0.082507","111925513.440"
"2","2010-09","0.023949","12656876.910"
"1","2010-09","0.010801","10769804181.150"
"8","2010-09","0.112379","124255342.040"
"4","2010-09","0.013482","4057649237.420"
"16","2010-10","0.133023","135640591.720"
"2","2010-10","0.111042","14062331.390"
"1","2010-10","0.120990","12523112458.410"
"8","2010-10","0.108882","137784525.210"
"4","2010-10","0.118454","4595052702.760"
"16","2010-11","0.104300","188559894.300"
"2","2010-11","0.024248","14668208.930"
"1","2010-11","-0.054997","13858095313.060"
"8","2010-11","-0.039190","132384872.470"
"4","2010-11","-0.016503","4659072707.620"
"16","2010-12","-0.037035","201476464.550"
"2","2010-12","0.018043","15175579.350"
"1","2010-12","-0.008405","14104264166.700"
"8","2010-12","0.018124","134247906.360"
"4","2010-12","-0.008524","4711455740.140"
"16","2011-01","-0.100086","202092652.850"
"2","2011-01","0.006914","15280512.060"
"1","2011-01","-0.005056","14166160573.870"
"8","2011-01","0.007193","135213649.430"
"4","2011-01","-0.062748","4510063337.400"
"16","2011-02","0.063944","230435032.010"
"2","2011-02","0.028367","15713976.110"
"1","2011-02","0.040288","14912559000.040"
"8","2011-02","-0.014122","133304096.990"
"4","2011-02","0.092968","5012474967.810"
"16","2011-03","-0.074775","231090898.250"
"2","2011-03","0.007299","15828675.110"
"1","2011-03","0.012258","15022626704.840"
"8","2011-03","-0.001400","132371630.850"
"4","2011-03","-0.023580","4997792646.670"
"16","2011-04","-0.093458","222963455.580"
"2","2011-04","-0.044358","15126545.130"
"1","2011-04","-0.005887","15314040420.750"
"8","2011-04","-0.021521","128222604.080"
"4","2011-04","-0.033303","4863552516.220"
"16","2011-05","-0.071270","223473405.950"
"2","2011-05","-0.046601","14395642.980"
"1","2011-05","-0.056524","14523238922.700"
"8","2011-05","-0.067914","119306689.490"
"4","2011-05","-0.070710","4597414423.100"
"16","2011-06","0.008611","231137923.950"
"2","2011-06","-0.046207","13543521.420"
"1","2011-06","0.018117","14627306136.270"
"8","2011-06","-0.032711","115003726.720"
"4","2011-06","0.042592","4888039871.010"
"16","2011-07","0.075560","260596339.900"
"2","2011-07","0.039696","14076578.120"
"1","2011-07","-0.018843","14418723596.690"
"8","2011-07","0.016566","116247301.690"
"4","2011-07","0.010136","5015818988.410"
"16","2011-08","0.016177","281807560.540"
"2","2011-08","-0.074343","13024102.160"
"1","2011-08","-0.049718","13844681867.360"
"8","2011-08","-0.075521","107525456.130"
"4","2011-08","-0.038442","4908041909.370"
"16","2011-09","-0.145254","250200165.350"
"2","2011-09","-0.081747","11959415.700"
"1","2011-09","-0.077640","12740811653.390"
"8","2011-09","-0.188568","87249550.380"
"4","2011-09","-0.116496","4362430493.790"
"16","2011-10","0.071851","274971884.600"
"2","2011-10","0.071167","12776013.210"
"1","2011-10","0.047793","13393720969.040"
"8","2011-10","0.109966","94761479.010"
"4","2011-10","0.029392","4513884399.890"
"16","2011-11","-0.017312","278049060.210"
"2","2011-11","-0.099045","11510605.510"
"1","2011-11","-0.051698","12745187587.760"
"8","2011-11","-0.063263","88251248.540"
"4","2011-11","-0.049669","4308350136.480"
"16","2011-12","-0.130445","248152146.970"
"2","2011-12","-0.060623","10812795.530"
"1","2011-12","-0.052638","12177036375.890"
"8","2011-12","-0.013705","89434763.530"
"4","2011-12","-0.127628","3806655236.550"
"16","2012-01","-0.109243","228647544.880"
"2","2012-01","0.030335","11140808.110"
"1","2012-01","0.044134","12767790374.920"
"8","2012-01","0.040880","93088125.140"
"4","2012-01","0.006554","3828209773.360"
"16","2012-02","0.142535","271482585.600"
"2","2012-02","0.090061","12144162.350"
"1","2012-02","0.056982","13553810909.790"
"8","2012-02","0.125867","104804869.330"
"4","2012-02","0.113753","4332180640.400"
"16","2012-03","-0.082994","260192552.500"
"2","2012-03","-0.047421","11539973.150"
"1","2012-03","-0.068417","12650194153.050"
"8","2012-03","-0.038227","99653039.540"
"4","2012-03","-0.069391","4081078744.070"
"16","2012-04","0.014908","271452444.020"
"2","2012-04","0.078772","12409173.260"
"1","2012-04","0.059006","13434946792.730"
"8","2012-04","0.048055","104441937.160"
"4","2012-04","0.063546","4359256550.640"
"16","2012-05","0.063603","296827943.430"
"2","2012-05","-0.041861","11812440.700"
"1","2012-05","-0.009022","13346158292.280"
"8","2012-05","-0.033774","99124759.300"
"4","2012-05","0.022192","4462904750.240"
"16","2012-06","-0.001650","306235406.240"
"2","2012-06","-0.004757","11771710.110"
"1","2012-06","-0.048867","12532009175.120"
"8","2012-06","-0.035466","96072832.220"
"4","2012-06","-0.057753","4220012328.710"
"16","2012-07","-0.090243","287775060.180"
"2","2012-07","-0.121293","10158335.210"
"1","2012-07","-0.048810","11978715505.000"
"8","2012-07","-0.104407","85154928.740"
"4","2012-07","-0.070766","3970036683.370"
"16","2012-08","0.062156","314366799.740"
"2","2012-08","0.055488","10712245.320"
"1","2012-08","-0.023993","11714680031.620"
"8","2012-08","0.016733","86228555.570"
"4","2012-08","-0.027584","3899818797.040"
"16","2012-09","-0.025955","308998159.340"
"2","2012-09","0.025940","10990129.240"
"1","2012-09","0.024169","11974788794.090"
"8","2012-09","-0.000945","84681719.650"
"4","2012-09","0.027982","4005617194.170"
"16","2012-10","-0.002199","316890190.230"
"2","2012-10","0.002462","11017192.780"
"1","2012-10","-0.008950","11870678519.840"
"8","2012-10","0.032842","87462904.000"
"4","2012-10","-0.011083","4007518534.260"
"16","2012-11","-0.123387","279642811.380"
"2","2012-11","-0.014834","10853758.810"
"1","2012-11","-0.043043","11454526523.930"
"8","2012-11","0.019755","87666073.120"
"4","2012-11","-0.104290","3625550244.380"
"16","2012-12","0.186824","330138829.790"
"2","2012-12","0.131440","12097360.040"
"1","2012-12","0.145906","13295367047.110"
"8","2012-12","0.173626","87871354.980"
"4","2012-12","0.163549","4251528219.430"
"16","2013-01","0.075750","384963213.810"
"2","2013-01","0.138550","13773453.910"
"1","2013-01","0.046982","14013182913.570"
"8","2013-01","0.240764","110172346.780"
"4","2013-01","0.062277","4534956915.880"
"16","2013-02","0.090545","430104903.610"
"2","2013-02","-0.000533","14161955.090"
