Markettype,Trdmnt,Mretwdeq,Mretmdeq,Mretwdos,Mretmdos
4,2015-07,-0.16317,-0.163169,-0.173343,-0.173241
1,2015-07,-0.169842,-0.169816,-0.139439,-0.138557
16,2015-07,-0.144815,-0.144826,-0.152698,-0.152701
4,2015-08,-0.135356,-0.134833,-0.159036,-0.15873
1,2015-08,-0.126645,-0.126626,-0.126751,-0.126685
16,2015-08,-0.212034,-0.212019,-0.233561,-0.23355
4,2015-09,-0.054985,-0.054972,-0.079274,-0.079252
1,2015-09,-0.054155,-0.054136,-0.049383,-0.049324
16,2015-09,0.046007,0.049694,0.037936,0.040459
4,2015-10,0.240153,0.243938,0.187885,0.195601
16,2015-10,0.276168,0.276166,0.224289,0.22429
1,2015-10,0.19461,0.194604,0.111464,0.111455
4,2015-11,0.128093,0.128073,0.070395,0.070399
16,2015-11,0.20143,0.201423,0.131252,0.131249
1,2015-11,0.086784,0.090612,0.014196,0.015571
4,2015-12,0.088442,0.090526,0.065871,0.06652
16,2015-12,0.053177,0.054642,0.037701,0.038408
1,2015-12,0.062237,0.062234,0.027475,0.027477
4,2016-01,-0.28893,-0.288235,-0.282988,-0.282138
16,2016-01,-0.293043,-0.293043,-0.309016,-0.309016
1,2016-01,-0.284789,-0.284762,-0.225688,-0.225651
4,2016-02,-0.012708,-0.012708,-0.02342,-0.02342
16,2016-02,-0.057912,-0.057912,-0.06366,-0.06366
1,2016-02,-0.01292,-0.01292,-0.016489,-0.016491
4,2016-03,0.197467,0.197461,0.170273,0.170268
16,2016-03,0.237679,0.237655,0.219039,0.218984
1,2016-03,0.168563,0.168562,0.119371,0.119371
16,2016-04,0.00545,0.005457,-0.02485,-0.024828
4,2016-04,0.001997,0.001991,-0.018223,-0.018222
1,2016-04,-0.004272,-0.004267,-0.020227,-0.020223
16,2016-05,0.035198,0.035118,0.018025,0.017944
4,2016-05,-0.017932,-0.017963,-0.007525,-0.00756
1,2016-05,-0.019872,-0.019896,-0.004695,-0.004712
1,2016-06,0.039172,0.039115,0.007376,0.007297
16,2016-06,0.128883,0.128792,0.079981,0.079935
4,2016-06,0.068796,0.068752,0.046681,0.046629
16,2016-07,-0.050076,-0.050055,-0.058496,-0.058477
1,2016-07,0.021671,0.021651,0.031782,0.031556
4,2016-07,0.000049,0.000058,-0.003754,-0.003756
