fullname,OnlineTime_YMD,Bankrupt_WDZJ,Province,City,Collapse,Benign,Fraud,RegCapital,Background,Capitaldeposit,Obtaininvest,Joinasso,Autobid,Transright,Riskdeposit,Thirdguarantee
够力金融,20150331,,广西,柳州,0,,,500.0,民营系,1,0.0,0.0,1,0,0.0,0.0
鼓浪金服,20151012,20180202.0,福建,厦门,1,0.0,0.0,1600.0,民营系,0,0.0,0.0,0,0,0.0,0.0
固金所,20150506,20190510.0,上海,上海,1,1.0,0.0,500.0,国企背景,1,0.0,1.0,0,1,0.0,0.0
冠腾贷,20150521,,河北,石家庄,0,,,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
管金贷,20140715,20180109.0,江苏,宿迁,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,1,0.0,0.0
光华永贷,20141012,20150507.0,重庆,重庆,1,0.0,0.0,100.0,民营系,0,0.0,0.0,0,0,0.0,0.0
广安宏润,20140714,20160218.0,山东,青岛,1,1.0,0.0,150.0,民营系,0,0.0,0.0,0,0,0.0,0.0
广电财富,20151220,,陕西,西安,0,,,100.0,上市公司,1,0.0,0.0,0,0,0.0,0.0
广汇融,20160109,20170414.0,江苏,宿迁,1,0.0,1.0,380.0,民营系,0,0.0,0.0,0,0,0.0,0.0
广融财富,20180418,,江苏,淮安,0,,,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
广义贷,20150407,20160207.0,广东,深圳,1,0.0,0.0,50.0,民营系,0,0.0,0.0,1,0,0.0,0.0
贵禄财富,20150818,20151026.0,上海,上海,1,0.0,1.0,2000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
贵人贷,20151021,20181112.0,浙江,杭州,1,0.0,0.0,500.8,民营系,0,0.0,0.0,1,0,0.0,0.0
国宝投资,20141016,20151011.0,山东,枣庄,1,0.0,0.0,1000.0,民营系,0,0.0,0.0,0,0,0.0,0.0
国鼎投融,20130820,20151127.0,浙江,杭州,1,0.0,1.0,50.0,民营系,0,0.0,0.0,0,0,0.0,0.0
国金宝,20140918,20180730.0,上海,上海,1,0.0,1.0,1300.0,国企背景,0,0.0,0.0,0,0,0.0,0.0
国曼投资,20160226,20160306.0,河北,石家庄,1,0.0,0.0,500.0,民营系,0,0.0,0.0,0,0,0.0,0.0
