"SgnDate","Term_EN","Shibor"
"2017-05-04","1 day","2.85060"
"2017-05-04","14 days","3.36500"
"2017-05-04","1 year","4.25030"
"2017-05-04","30 days","4.04360"
"2017-05-04","6 months","4.36020"
"2017-05-04","7 days","2.92700"
"2017-05-04","90 days","4.34760"
"2017-05-04","9 months","4.24490"
"2017-05-05","7 days","2.91860"
"2017-05-05","30 days","4.04690"
"2017-05-05","9 months","4.24660"
"2017-05-05","6 months","4.36640"
"2017-05-05","1 day","2.83480"
"2017-05-05","1 year","4.25120"
"2017-05-05","90 days","4.36080"
"2017-05-05","14 days","3.36600"
"2017-05-08","1 day","2.81800"
"2017-05-08","30 days","4.04470"
"2017-05-08","14 days","3.36830"
"2017-05-08","1 year","4.25550"
"2017-05-08","9 months","4.25100"
"2017-05-08","6 months","4.37440"
"2017-05-08","7 days","2.90910"
"2017-05-08","90 days","4.37310"
"2017-05-09","6 months","4.37990"
"2017-05-09","14 days","3.37520"
"2017-05-09","1 year","4.26120"
"2017-05-09","90 days","4.38480"
"2017-05-09","9 months","4.25570"
"2017-05-09","7 days","2.92330"
"2017-05-09","1 day","2.81990"
"2017-05-09","30 days","4.04410"
"2017-05-10","1 day","2.82700"
"2017-05-10","14 days","3.38050"
"2017-05-10","1 year","4.26740"
"2017-05-10","30 days","4.04630"
"2017-05-10","6 months","4.38570"
"2017-05-10","7 days","2.93000"
"2017-05-10","90 days","4.39330"
"2017-05-10","9 months","4.26230"
"2017-05-11","7 days","2.92940"
"2017-05-11","30 days","4.05070"
"2017-05-11","9 months","4.26440"
"2017-05-11","6 months","4.39200"
"2017-05-11","1 day","2.81300"
"2017-05-11","1 year","4.27150"
"2017-05-11","90 days","4.40830"
"2017-05-11","14 days","3.38460"
"2017-05-12","1 day","2.81300"
"2017-05-12","30 days","4.05070"
"2017-05-12","14 days","3.38460"
"2017-05-12","1 year","4.27150"
"2017-05-12","9 months","4.26440"
"2017-05-12","6 months","4.39200"
"2017-05-12","7 days","2.92940"
"2017-05-12","90 days","4.40830"
"2017-05-15","7 days","2.88330"
"2017-05-15","14 days","3.38900"
"2017-05-15","1 year","4.27390"
"2017-05-15","9 months","4.26790"
"2017-05-15","90 days","4.41840"
"2017-05-15","6 months","4.39960"
"2017-05-15","1 day","2.71600"
"2017-05-15","30 days","4.04620"
"2017-05-16","14 days","3.39300"
"2017-05-16","1 day","2.74600"
"2017-05-16","30 days","4.04770"
"2017-05-16","90 days","4.42780"
"2017-05-16","6 months","4.40200"
"2017-05-16","9 months","4.27270"
"2017-05-16","1 year","4.27840"
"2017-05-16","7 days","2.88270"
"2017-05-17","30 days","4.04950"
"2017-05-17","6 months","4.40210"
"2017-05-17","90 days","4.43490"
"2017-05-17","9 months","4.27650"
"2017-05-17","1 day","2.75250"
"2017-05-17","14 days","3.39700"
"2017-05-17","1 year","4.28310"
"2017-05-17","7 days","2.88200"
"2017-05-18","1 day","2.76410"
"2017-05-18","30 days","4.05250"
"2017-05-18","6 months","4.40430"
"2017-05-18","14 days","3.41340"
"2017-05-18","1 year","4.28640"
"2017-05-18","7 days","2.88670"
"2017-05-18","90 days","4.44390"
"2017-05-18","9 months","4.28140"
"2017-05-19","9 months","4.28500"
"2017-05-19","90 days","4.46410"
"2017-05-19","14 days","3.41900"
"2017-05-19","6 months","4.41300"
"2017-05-19","1 day","2.71500"
"2017-05-19","7 days","2.88000"
"2017-05-19","1 year","4.29250"
"2017-05-19","30 days","4.05710"
"2017-05-22","14 days","3.43660"
"2017-05-22","1 day","2.67450"
"2017-05-22","30 days","4.06100"
"2017-05-22","90 days","4.47440"
"2017-05-22","6 months","4.41480"
"2017-05-22","9 months","4.28810"
"2017-05-22","1 year","4.30240"
"2017-05-22","7 days","2.86790"
"2017-05-23","30 days","4.06240"
"2017-05-23","6 months","4.42150"
"2017-05-23","90 days","4.49560"
"2017-05-23","9 months","4.29650"
"2017-05-23","1 day","2.65400"
"2017-05-23","14 days","3.44890"
"2017-05-23","1 year","4.31370"
"2017-05-23","7 days","2.85710"
