"Markettype","Trdwnt","Cwretmdos"
"111","2017-31","0.001467"
"117","2017-31","0.000826"
"127","2017-31","0.000819"
"33","2017-31","0.004058"
"20","2017-31","-0.004852"
"10","2017-32","-0.009285"
"5","2017-32","-0.015983"
"15","2017-32","-0.015952"
"21","2017-32","-0.014570"
"31","2017-32","-0.014547"
"37","2017-32","-0.015983"
"47","2017-32","-0.015952"
"53","2017-32","-0.014570"
"63","2017-32","-0.014547"
"69","2017-32","-0.015983"
"79","2017-32","-0.015952"
"85","2017-32","-0.014570"
"95","2017-32","-0.014547"
"101","2017-32","-0.015983"
"111","2017-32","-0.015952"
"117","2017-32","-0.014570"
"127","2017-32","-0.014547"
"33","2017-32","-0.016959"
"20","2017-32","-0.010338"
"10","2017-33","0.014287"
"5","2017-33","0.021875"
"15","2017-33","0.021839"
"21","2017-33","0.023566"
"31","2017-33","0.023525"
"37","2017-33","0.021875"
"47","2017-33","0.021839"
"53","2017-33","0.023566"
"63","2017-33","0.023525"
"69","2017-33","0.021875"
"79","2017-33","0.021839"
"85","2017-33","0.023566"
"95","2017-33","0.023525"
"101","2017-33","0.021875"
"111","2017-33","0.021839"
"117","2017-33","0.023566"
"127","2017-33","0.023525"
"33","2017-33","0.018433"
"20","2017-33","0.032618"
"10","2017-34","-0.003513"
"5","2017-34","0.016432"
"15","2017-34","0.016337"
"21","2017-34","0.015339"
"31","2017-34","0.015256"
"37","2017-34","0.016432"
"47","2017-34","0.016337"
"53","2017-34","0.015339"
"63","2017-34","0.015256"
"69","2017-34","0.016432"
"79","2017-34","0.016337"
"85","2017-34","0.015339"
"95","2017-34","0.015256"
"101","2017-34","0.016432"
"111","2017-34","0.016337"
"117","2017-34","0.015339"
"127","2017-34","0.015256"
"33","2017-34","0.021719"
"20","2017-34","0.004157"
"10","2017-35","0.008546"
"5","2017-35","0.011216"
"15","2017-35","0.011204"
"21","2017-35","0.012702"
"31","2017-35","0.012684"
"37","2017-35","0.011216"
"47","2017-35","0.011204"
"53","2017-35","0.012702"
"63","2017-35","0.012684"
"69","2017-35","0.011216"
"79","2017-35","0.011204"
"85","2017-35","0.012702"
"95","2017-35","0.012684"
"101","2017-35","0.011216"
"111","2017-35","0.011204"
"117","2017-35","0.012702"
"127","2017-35","0.012684"
"33","2017-35","0.006557"
"20","2017-35","0.023813"
"10","2017-36","0.021657"
"5","2017-36","0.002570"
"15","2017-36","0.002656"
