"Markettype","Trdmnt","Cmretmdos"
"31","2015-01","0.012660"
"63","2015-01","0.012660"
"37","2015-01","0.007830"
"47","2015-01","0.007896"
"53","2015-01","0.012622"
"69","2015-01","0.007830"
"79","2015-01","0.007896"
"85","2015-01","0.012622"
"95","2015-01","0.012660"
"101","2015-01","0.007830"
"111","2015-01","0.007896"
"117","2015-01","0.012622"
"127","2015-01","0.012660"
"33","2015-01","-0.008806"
"20","2015-01","0.065280"
"10","2015-02","0.028866"
"5","2015-02","0.040310"
"15","2015-02","0.040247"
"21","2015-02","0.045060"
"31","2015-02","0.044975"
"63","2015-02","0.044975"
"37","2015-02","0.040310"
"47","2015-02","0.040247"
"53","2015-02","0.045060"
"69","2015-02","0.040310"
"79","2015-02","0.040247"
"85","2015-02","0.045060"
"95","2015-02","0.044975"
"101","2015-02","0.040310"
"111","2015-02","0.040247"
"117","2015-02","0.045060"
"127","2015-02","0.044975"
"33","2015-02","0.029338"
"20","2015-02","0.080898"
"10","2015-03","0.047462"
"5","2015-03","0.148415"
"15","2015-03","0.147871"
"21","2015-03","0.153806"
"31","2015-03","0.153261"
"63","2015-03","0.153261"
"37","2015-03","0.148415"
"47","2015-03","0.147871"
"53","2015-03","0.153806"
"69","2015-03","0.148415"
"79","2015-03","0.147871"
"85","2015-03","0.153806"
"95","2015-03","0.153261"
"101","2015-03","0.148415"
"111","2015-03","0.147871"
"117","2015-03","0.153806"
"127","2015-03","0.153261"
"33","2015-03","0.128867"
"20","2015-03","0.208134"
"10","2015-04","0.286036"
"5","2015-04","0.178335"
"15","2015-04","0.178860"
"21","2015-04","0.179852"
"31","2015-04","0.180342"
"63","2015-04","0.180342"
"37","2015-04","0.178335"
"47","2015-04","0.178860"
"53","2015-04","0.179852"
"69","2015-04","0.178335"
"79","2015-04","0.178860"
"85","2015-04","0.179852"
"95","2015-04","0.180342"
"101","2015-04","0.178335"
"111","2015-04","0.178860"
"117","2015-04","0.179852"
"127","2015-04","0.180342"
"33","2015-04","0.188765"
"20","2015-04","0.161747"
"10","2015-05","0.164884"
"5","2015-05","0.067684"
"15","2015-05","0.068185"
"21","2015-05","0.084174"
"31","2015-05","0.084568"
"63","2015-05","0.084568"
"37","2015-05","0.067684"
"47","2015-05","0.068185"
"53","2015-05","0.084174"
"69","2015-05","0.067684"
"79","2015-05","0.068185"
"85","2015-05","0.084174"
"95","2015-05","0.084568"
"101","2015-05","0.067684"
"111","2015-05","0.068185"
"117","2015-05","0.084174"
"127","2015-05","0.084568"
"33","2015-05","0.017096"
"20","2015-05","0.224449"
"10","2015-06","-0.079835"
"5","2015-06","-0.068989"
"15","2015-06","-0.069050"
"21","2015-06","-0.077636"
"31","2015-06","-0.077648"
"63","2015-06","-0.077648"
"37","2015-06","-0.068989"
"47","2015-06","-0.069050"
"53","2015-06","-0.077636"
"69","2015-06","-0.068989"
"79","2015-06","-0.069050"
"85","2015-06","-0.077636"
"95","2015-06","-0.077648"
"101","2015-06","-0.068989"
"111","2015-06","-0.069050"
"117","2015-06","-0.077636"
"127","2015-06","-0.077648"
"33","2015-06","-0.056742"
"20","2015-06","-0.114333"
"5","2015-07","-0.148807"
"10","2015-07","-0.190073"
"15","2015-07","-0.149028"
"21","2015-07","-0.149048"
"31","2015-07","-0.149254"
"63","2015-07","-0.149254"
"37","2015-07","-0.148807"
"47","2015-07","-0.149028"
"53","2015-07","-0.149048"
"69","2015-07","-0.148807"
"79","2015-07","-0.149028"
"85","2015-07","-0.149048"
"95","2015-07","-0.149254"
"101","2015-07","-0.148807"
"111","2015-07","-0.149028"
"117","2015-07","-0.149048"
"127","2015-07","-0.149254"
"33","2015-07","-0.138557"
"20","2015-07","-0.169493"
"10","2015-08","-0.153236"
"5","2015-08","-0.135816"
"15","2015-08","-0.135904"
"21","2015-08","-0.141841"
"31","2015-08","-0.141895"
"63","2015-08","-0.141895"
"37","2015-08","-0.135816"
"47","2015-08","-0.135904"
"53","2015-08","-0.141841"
"69","2015-08","-0.135816"
"79","2015-08","-0.135904"
"85","2015-08","-0.141841"
"95","2015-08","-0.141895"
"101","2015-08","-0.135816"
"111","2015-08","-0.135904"
"117","2015-08","-0.141841"
"127","2015-08","-0.141895"
"33","2015-08","-0.126685"
"20","2015-08","-0.172749"
"10","2015-09","0.004949"
"5","2015-09","-0.057974"
"15","2015-09","-0.057635"
"21","2015-09","-0.052400"
"31","2015-09","-0.052109"
"63","2015-09","-0.052109"
"37","2015-09","-0.057974"
"47","2015-09","-0.057635"
"53","2015-09","-0.052400"
"69","2015-09","-0.057974"
"79","2015-09","-0.057635"
"85","2015-09","-0.052400"
"95","2015-09","-0.052109"
"101","2015-09","-0.057974"
"111","2015-09","-0.057635"
"117","2015-09","-0.052400"
"127","2015-09","-0.052109"
"33","2015-09","-0.049324"
"20","2015-09","-0.058668"
"10","2015-10","0.139108"
"5","2015-10","0.136246"
"15","2015-10","0.136263"
"21","2015-10","0.141874"
"31","2015-10","0.141859"
"63","2015-10","0.141859"
"37","2015-10","0.136246"
"47","2015-10","0.136263"
"53","2015-10","0.141874"
"69","2015-10","0.136246"
"79","2015-10","0.136263"
"85","2015-10","0.141874"
"95","2015-10","0.141859"
"101","2015-10","0.136246"
"111","2015-10","0.136263"
"117","2015-10","0.141874"
"127","2015-10","0.141859"
"33","2015-10","0.111455"
"20","2015-10","0.200999"
"10","2015-11","0.054254"
"5","2015-11","0.032817"
"15","2015-11","0.032939"
"21","2015-11","0.039728"
"31","2015-11","0.039805"
"63","2015-11","0.039805"
"37","2015-11","0.032817"
"47","2015-11","0.032939"
"53","2015-11","0.039728"
"69","2015-11","0.032817"
"79","2015-11","0.032939"
"85","2015-11","0.039728"
"95","2015-11","0.039805"
"101","2015-11","0.032817"
"111","2015-11","0.032939"
"117","2015-11","0.039728"
"127","2015-11","0.039805"
"33","2015-11","0.015571"
"20","2015-11","0.082178"
"10","2015-12","0.109243"
"5","2015-12","0.040161"
"15","2015-12","0.040535"
"21","2015-12","0.040027"
"31","2015-12","0.040374"
"63","2015-12","0.040374"
"37","2015-12","0.040161"
"47","2015-12","0.040535"
"53","2015-12","0.040027"
"69","2015-12","0.040161"
"79","2015-12","0.040535"
"85","2015-12","0.040027"
"95","2015-12","0.040374"
"101","2015-12","0.040161"
"111","2015-12","0.040535"
"117","2015-12","0.040027"
"127","2015-12","0.040374"
"33","2015-12","0.027477"
"20","2015-12","0.060814"
"10","2016-01","-0.171101"
"5","2016-01","-0.244266"
"15","2016-01","-0.243850"
"21","2016-01","-0.249112"
"31","2016-01","-0.248702"
"63","2016-01","-0.248702"
"37","2016-01","-0.244266"
"47","2016-01","-0.243850"
"53","2016-01","-0.249112"
"69","2016-01","-0.244266"
"79","2016-01","-0.243850"
"85","2016-01","-0.249112"
"95","2016-01","-0.248702"
"101","2016-01","-0.244266"
"111","2016-01","-0.243850"
"117","2016-01","-0.249112"
"127","2016-01","-0.248702"
"33","2016-01","-0.225651"
"20","2016-01","-0.287436"
"10","2016-02","-0.033099"
"5","2016-02","-0.018643"
"15","2016-02","-0.018728"
"21","2016-02","-0.021767"
"31","2016-02","-0.021829"
"63","2016-02","-0.021829"
"37","2016-02","-0.018643"
"47","2016-02","-0.018728"
"53","2016-02","-0.021767"
"69","2016-02","-0.018643"
"79","2016-02","-0.018728"
"85","2016-02","-0.021767"
"95","2016-02","-0.021829"
"101","2016-02","-0.018643"
"111","2016-02","-0.018728"
"117","2016-02","-0.021767"
"127","2016-02","-0.021829"
"33","2016-02","-0.016491"
"20","2016-02","-0.031214"
"10","2016-03","0.088535"
"5","2016-03","0.135208"
