"Symbol","TradingDate","ChangeRatio"
"000300","2021-04-07","-0.007120"
"000300","2021-04-08","0.001659"
"000300","2021-04-09","-0.015037"
"000300","2021-04-12","-0.017395"
"000300","2021-04-13","-0.001638"
"000300","2021-04-14","0.008297"
"000300","2021-04-15","-0.006355"
"000300","2021-04-16","0.003477"
"000300","2021-04-19","0.024332"
"000300","2021-04-20","-0.000718"
"000300","2021-04-21","0.003026"
"000300","2021-04-22","-0.001863"
"000300","2021-04-23","0.009080"
"000300","2021-04-26","-0.011336"
"000300","2021-04-27","0.002616"
"000300","2021-04-28","0.005642"
"000300","2021-04-29","0.008776"
"000300","2021-04-30","-0.007877"
"000300","2021-05-03","0.000000"
"000300","2021-05-04","0.000000"
"000300","2021-05-05","0.000000"
"000300","2021-05-06","-0.012172"
"000300","2021-05-07","-0.012857"
"000300","2021-05-10","-0.000727"
"000300","2021-05-11","0.006137"
"000300","2021-05-12","0.004278"
"000300","2021-05-13","-0.010224"
"000300","2021-05-14","0.023556"
"000300","2021-05-17","0.014557"
"000300","2021-05-18","0.000505"
"000300","2021-05-19","-0.002955"
"000300","2021-05-20","0.002734"
"000300","2021-05-21","-0.010077"
"000300","2021-05-24","0.004176"
"000300","2021-05-25","0.031595"
"000300","2021-05-26","0.000398"
"000300","2021-05-27","0.003315"
"000300","2021-05-28","-0.003212"
"000300","2021-05-31","0.001970"
"000300","2021-06-01","0.001896"
"000300","2021-06-02","-0.009680"
"000300","2021-06-03","-0.006557"
"000300","2021-06-04","0.005136"
"000300","2021-06-07","-0.000880"
"000300","2021-06-08","-0.008623"
"000300","2021-06-09","0.000828"
"000300","2021-06-10","0.006687"
"000300","2021-06-11","-0.008871"
"000300","2021-06-14","0.000000"
"000300","2021-06-15","-0.011128"
"000300","2021-06-16","-0.016659"
"000300","2021-06-17","0.004212"
"000300","2021-06-18","0.000113"
"000300","2021-06-21","-0.002368"
"000300","2021-06-22","0.006242"
"000300","2021-06-23","0.004927"
"000300","2021-06-24","0.001667"
"000300","2021-06-25","0.016291"
"000300","2021-06-28","0.002250"
"000300","2021-06-29","-0.011656"
"000300","2021-06-30","0.006453"
"000300","2021-07-01","0.001076"
"000300","2021-07-02","-0.028405"
"000300","2021-07-05","0.000920"
"000300","2021-07-06","-0.000529"
"000300","2021-07-07","0.011290"
"000300","2021-07-08","-0.010161"
"000300","2021-07-09","-0.003699"
"000300","2021-07-12","0.012481"
"000300","2021-07-13","0.001829"
"000300","2021-07-14","-0.011477"
"000300","2021-07-15","0.013452"
"000300","2021-07-16","-0.011005"
"000300","2021-07-19","0.003675"
"000300","2021-07-20","-0.000880"
"000300","2021-07-21","0.006860"
"000300","2021-07-22","0.001499"
"000300","2021-07-23","-0.012136"
"000300","2021-07-26","-0.032211"
"000300","2021-07-27","-0.035325"
"000300","2021-07-28","0.001930"
"000300","2021-07-29","0.018862"
"000300","2021-07-30","-0.008062"
"000300","2021-08-02","0.025475"
"000300","2021-08-03","0.000146"
"000300","2021-08-04","0.008996"
"000300","2021-08-05","-0.006061"
"000300","2021-08-06","-0.005477"
"000300","2021-08-09","0.013004"
"000300","2021-08-10","0.011550"
"000300","2021-08-11","-0.005514"
"000300","2021-08-12","-0.008372"
"000300","2021-08-13","-0.005503"
"000300","2021-08-16","-0.000994"
"000300","2021-08-17","-0.020980"
"000300","2021-08-18","0.011749"
"000300","2021-08-19","-0.006559"
"000300","2021-08-20","-0.019101"
"000300","2021-08-23","0.013967"
"000300","2021-08-24","0.010859"
"000300","2021-08-25","0.001998"
"000300","2021-08-26","-0.019711"
"000300","2021-08-27","0.005297"
"000300","2021-08-30","-0.002853"
"000300","2021-08-31","-0.001591"
"000300","2021-09-01","0.013286"
"000300","2021-09-02","-0.000010"
"000300","2021-09-03","-0.005411"
"000300","2021-09-06","0.018720"
