PERMNO,date,TICKER,PRC,RET,sprtrn
89393,2020/10/19,NFLX,530.71997,-0.000132,-0.016330
89393,2020/10/20,NFLX,525.41998,-0.009986,0.004727
89393,2020/10/21,NFLX,489.04999,-0.069221,-0.002196
89393,2020/10/22,NFLX,485.23001,-0.007811,0.005219
89393,2020/10/23,NFLX,488.28000,0.006286,0.003446
89393,2020/10/26,NFLX,488.23999,-0.000082,-0.018590
89393,2020/10/27,NFLX,488.92999,0.001413,-0.003026
89393,2020/10/28,NFLX,486.23999,-0.005502,-0.035288
89393,2020/10/29,NFLX,504.20999,0.036957,0.011947
89393,2020/10/30,NFLX,475.73999,-0.056465,-0.012130
89393,2020/11/02,NFLX,484.12000,0.017615,0.012318
89393,2020/11/03,NFLX,487.22000,0.006403,0.017799
89393,2020/11/04,NFLX,496.95001,0.019970,0.022047
89393,2020/11/05,NFLX,513.76001,0.033826,0.019460
89393,2020/11/06,NFLX,514.72998,0.001888,-0.000288
89393,2020/11/09,NFLX,470.50000,-0.085929,0.011700
89393,2020/11/10,NFLX,480.23999,0.020701,-0.001400
89393,2020/11/11,NFLX,490.76001,0.021906,0.007652
89393,2020/11/12,NFLX,486.76999,-0.008130,-0.009979
89393,2020/11/13,NFLX,482.84000,-0.008074,0.013610
89393,2020/11/16,NFLX,479.10001,-0.007746,0.011648
89393,2020/11/17,NFLX,480.63000,0.003193,-0.004792
89393,2020/11/18,NFLX,481.79001,0.002414,-0.011564
89393,2020/11/19,NFLX,484.67001,0.005978,0.003946
89393,2020/11/20,NFLX,488.23999,0.007366,-0.006793
89393,2020/11/23,NFLX,476.62000,-0.023800,0.005636
89393,2020/11/24,NFLX,482.88000,0.013134,0.016162
89393,2020/11/25,NFLX,485.00000,0.004390,-0.001584
89393,2020/11/27,NFLX,491.35999,0.013113,0.002397
89393,2020/11/30,NFLX,490.70001,-0.001343,-0.004595
89393,2020/12/01,NFLX,504.57999,0.028286,0.011271
89393,2020/12/02,NFLX,503.38000,-0.002378,0.001791
89393,2020/12/03,NFLX,497.51999,-0.011641,-0.000624
89393,2020/12/04,NFLX,498.31000,0.001588,0.008836
89393,2020/12/07,NFLX,515.78003,0.035059,-0.001936
89393,2020/12/08,NFLX,512.65997,-0.006049,0.002787
89393,2020/12/09,NFLX,493.60001,-0.037179,-0.007949
89393,2020/12/10,NFLX,501.09000,0.015174,-0.001285
89393,2020/12/11,NFLX,503.22000,0.004251,-0.001265
89393,2020/12/14,NFLX,522.41998,0.038154,-0.004359
89393,2020/12/15,NFLX,519.78003,-0.005053,0.012921
89393,2020/12/16,NFLX,524.83002,0.009716,0.001773
89393,2020/12/17,NFLX,532.90002,0.015376,0.005758
89393,2020/12/18,NFLX,534.45001,0.002909,-0.003511
89393,2020/12/21,NFLX,528.90997,-0.010366,-0.003906
89393,2020/12/22,NFLX,527.33002,-0.002987,-0.002073
89393,2020/12/23,NFLX,514.47998,-0.024368,0.000746
89393,2020/12/24,NFLX,513.96997,-0.000991,0.003537
89393,2020/12/28,NFLX,519.12000,0.010020,0.008723
89393,2020/12/29,NFLX,530.87000,0.022634,-0.002227
89393,2020/12/30,NFLX,524.59003,-0.011830,0.001342
89393,2020/12/31,NFLX,540.72998,0.030767,0.006439
89393,2021/01/04,NFLX,522.85999,-0.033048,-0.014755
89393,2021/01/05,NFLX,520.79999,-0.003940,0.007083
89393,2021/01/06,NFLX,500.48999,-0.038998,0.005710
89393,2021/01/07,NFLX,508.89001,0.016784,0.014847
89393,2021/01/08,NFLX,510.39999,0.002967,0.005492
